PARL10,PARL25,overlap_area,original_area,percentage_overlap_area,percentage_overlap_pop,overlap_pop,original_pop,__index_level_0__
E14000628,UKPARL.2025.CHM,33418414.66,42392867.09,0.79,0.95,106524.0,112149.0,881
E14000628,UKPARL.2025.MAL,8962431.78,42392867.09,0.21,0.05,5625.0,112149.0,455
E14000629,UKPARL.2025.CAF,7953217.42,8285135.51,0.96,0.96,104695.45,109390.0,1067
E14000629,UKPARL.2025.KAB,329579.8,8285135.51,0.04,0.04,4694.55,109390.0,115
E14000630,UKPARL.2025.CNM,35282982.17,37246803.79,0.95,0.94,98893.0,105482.0,1051
E14000630,UKPARL.2025.TEW,1961602.37,37246803.79,0.05,0.06,6589.0,105482.0,146
E14000631,UKPARL.2025.CAA,130478263.38,196353801.52,0.66,0.84,80698.61,95982.2,788
E14000631,UKPARL.2025.MBU,65831378.51,196353801.52,0.34,0.16,15283.59,95982.2,571
E14000632,UKPARL.2025.CHD,47324027.03,47356980.98,1.0,1.0,94524.0,94524.0,1169
E14000633,UKPARL.2025.ASD,347746472.62,621224958.66,0.56,0.24,26755.96,111756.0,706
E14000633,UKPARL.2025.CCH,273459081.59,621224958.66,0.44,0.76,85000.04,111756.0,653
E14000634,UKPARL.2025.CWG,18561155.05,19049279.31,0.97,0.95,90096.34,94540.0,1091
E14000634,UKPARL.2025.LAW,479534.91,19049279.31,0.03,0.05,4443.66,94540.0,65
E14000635,UKPARL.2025.CPM,53297611.01,167627952.74,0.32,0.49,48894.28,99595.35,561
E14000635,UKPARL.2025.MKM,106556852.98,167627952.74,0.64,0.46,45484.2,99595.35,764
E14000635,UKPARL.2025.SWW,7643434.26,167627952.74,0.05,0.05,5170.8,99595.35,131
E14000636,UKPARL.2025.CPB,31648457.43,34608237.45,0.91,0.82,97652.95,118901.0,1003
E14000636,UKPARL.2025.HFB,2721985.49,34608237.45,0.08,0.17,20452.48,118901.0,229
E14000637,UKPARL.2025.CRL,136677065.67,155203614.45,0.88,0.96,101105.14,105289.94,962
E14000637,UKPARL.2025.SRI,18500275.91,155203614.45,0.12,0.04,4184.81,105289.94,322
E14000638,UKPARL.2025.CHR,107631694.61,108720839.5,0.99,0.99,86763.59,87712.0,1124
E14000639,UKPARL.2025.CLW,15241022.99,16383406.23,0.93,0.98,131761.02,134683.34,1018
E14000639,UKPARL.2025.KAB,1128634.84,16383406.23,0.07,0.02,2922.32,134683.34,203
E14000640,UKPARL.2025.CHN,63529667.26,133508953.93,0.48,0.74,72076.97,97367.0,669
E14000640,UKPARL.2025.CHS,65661693.75,133508953.93,0.49,0.24,23556.86,97367.0,680
E14000640,UKPARL.2025.RAH,4300272.83,133508953.93,0.03,0.02,1733.17,97367.0,86
E14000641,UKPARL.2025.DHM,138897268.01,186677294.79,0.74,0.87,91258.89,104606.0,839
E14000641,UKPARL.2025.EAS,6242899.1,186677294.79,0.03,0.01,781.25,104606.0,91
E14000641,UKPARL.2025.NAS,41516460.98,186677294.79,0.22,0.12,12565.86,104606.0,468
E14000642,UKPARL.2025.CLT,131203035.78,131205640.91,1.0,1.0,90620.0,90620.0,1302
E14000643,UKPARL.2025.BIM,321657160.7,331221811.64,0.97,0.64,60565.0,94368.0,1087
E14000643,UKPARL.2025.GGC,9541135.73,331221811.64,0.03,0.36,33803.0,94368.0,74
E14000644,UKPARL.2025.COL,40561250.76,45612533.74,0.89,0.92,114688.18,125091.0,972
E14000644,UKPARL.2025.HWC,5051219.4,45612533.74,0.11,0.08,10402.82,125091.0,302
E14000645,UKPARL.2025.COV,172237241.56,180367524.24,0.95,0.82,91851.87,111647.97,1058
E14000645,UKPARL.2025.HUD,7794723.24,180367524.24,0.04,0.18,19678.68,111647.97,127
E14000646,UKPARL.2025.CNG,202964104.87,211005737.82,0.96,0.86,83460.0,97590.0,1069
E14000646,UKPARL.2025.MCH,7986363.15,211005737.82,0.04,0.14,14130.0,97590.0,110
E14000647,UKPARL.2025.BRW,304773637.12,1184506496.59,0.26,0.13,10115.0,78172.0,509
E14000647,UKPARL.2025.PEN,405738998.1,1184506496.59,0.34,0.1,8184.0,78172.0,580
E14000647,UKPARL.2025.WAW,473984633.64,1184506496.59,0.4,0.77,59873.0,78172.0,623
E14000648,UKPARL.2025.COR,521685616.83,553961275.25,0.94,0.9,112562.08,125018.0,1039
E14000648,UKPARL.2025.KET,25385780.15,553961275.25,0.05,0.03,4183.97,125018.0,132
E14000648,UKPARL.2025.WBR,6783802.05,553961275.25,0.01,0.07,8271.94,125018.0,14
E14000649,UKPARL.2025.CEA,23717307.63,27232429.4,0.87,0.81,104728.35,128874.96,952
E14000649,UKPARL.2025.CSO,3500235.48,27232429.4,0.13,0.19,24146.61,128874.96,339
E14000650,UKPARL.2025.CNW,38504559.58,38524008.93,1.0,1.0,113597.36,113597.36,1190
